Date,Cases 
1/3/2020,0
2/3/2020,2
3/3/2020,1
4/3/2020,22
5/3/2020,2
6/3/2020,1
7/3/2020,3
8/3/2020,5
9/3/2020,9
10/3/2020,15
11/3/2020,8
12/3/2020,10
13/03/20,10
14/03/20,11
15/03/20,10
16/03/20,14
17/03/20,20
18/03/20,25
19/03/20,27
20/03/20,58
21/03/20,78
22/03/20,69
23/03/20,94
24/03/20,74
25/03/20,86
26/03/20,73
27/03/20,153
28/03/20,136
29/03/20,120
30/03/20,187
31/03/20,309
1/4/2020,424
2/4/2020,486
3/4/2020,560
4/4/2020,579
5/4/2020,609
6/4/2020,484
7/4/2020,573
8/4/2020,565
9/4/2020,813
10/4/2020,871
11/4/2020,854
12/4/2020,758
13/04/20,1243
14/04/20,1031
15/04/20,886
16/04/20,1061
17/04/20,922
18/04/20,1371
19/04/20,1580
20/04/20,1239
21/04/20,1537
22/04/20,1292
23/04/20,1667
24/04/20,1408
25/04/20,1835
26/04/20,1607
27/04/20,1568
28/04/20,1902
29/04/20,1705
30/04/20,1801
